cod_comuna;comuna;cod_slep;slep;slep_formato;region;num_region;deprov;cod_deprov;anio_inicio_funciones;anio_traspaso;decreto;comuna_cabecera;referencial;precisiones
1101;Iquique;101;IQUIQUE;Iquique;Tarapacá;1;Iquique;11;2022;2024;Decreto 68 de 2021;Iquique;FALSE;
1107;Alto Hospicio;101;IQUIQUE;Iquique;Tarapacá;1;Iquique;11;2022;2024;Decreto 68 de 2021;Iquique;FALSE;
1401;Pozo Almonte;102;TAMARUGAL;Tamarugal;Tarapacá;1;Iquique;11;2023;2026;Decreto 162 de 2022;Pozo Almonte;TRUE;
1402;Camiña;102;TAMARUGAL;Tamarugal;Tarapacá;1;Iquique;11;2023;2026;Decreto 162 de 2022;Pozo Almonte;TRUE;
1403;Colchane;102;TAMARUGAL;Tamarugal;Tarapacá;1;Iquique;11;2023;2026;Decreto 162 de 2022;Pozo Almonte;TRUE;
1404;Huara;102;TAMARUGAL;Tamarugal;Tarapacá;1;Iquique;11;2023;2026;Decreto 162 de 2022;Pozo Almonte;TRUE;
1405;Pica;102;TAMARUGAL;Tamarugal;Tarapacá;1;Iquique;11;2023;2026;Decreto 162 de 2022;Pozo Almonte;TRUE;
2101;Antofagasta;201;ANTOFAGASTA;Antofagasta;Antofagasta;2;Antofagasta;21;2024;2027;Decreto 162 de 2022;Antofagasta;TRUE;Ministerio de Educación postergó el traspaso educativo del SLEP planificado para el 2026, quedando para el 2027.
2102;Mejillones;201;ANTOFAGASTA;Antofagasta;Antofagasta;2;Antofagasta;21;2024;2027;Decreto 162 de 2022;Antofagasta;TRUE;Ministerio de Educación postergó el traspaso educativo del SLEP planificado para el 2026, quedando para el 2027.
2103;Sierra Gorda;201;ANTOFAGASTA;Antofagasta;Antofagasta;2;Antofagasta;21;2024;2027;Decreto 162 de 2022;Antofagasta;TRUE;Ministerio de Educación postergó el traspaso educativo del SLEP planificado para el 2026, quedando para el 2027.
2104;Taltal;201;ANTOFAGASTA;Antofagasta;Antofagasta;2;Antofagasta;21;2024;2027;Decreto 162 de 2022;Antofagasta;TRUE;Ministerio de Educación postergó el traspaso educativo del SLEP planificado para el 2026, quedando para el 2027.
2201;Calama;202;LICANCABUR;Licancabur;Antofagasta;2;El Loa;22;2022;2025;Decreto 68 de 2021;Calama;FALSE;
2202;Ollagüe;202;LICANCABUR;Licancabur;Antofagasta;2;El Loa;22;2022;2025;Decreto 68 de 2021;Calama;FALSE;
2203;San Pedro de Atacama;202;LICANCABUR;Licancabur;Antofagasta;2;El Loa;22;2022;2025;Decreto 68 de 2021;Calama;FALSE;
2301;Tocopilla;202;LICANCABUR;Licancabur;Antofagasta;2;Antofagasta;21;2022;2025;Decreto 68 de 2021;Calama;FALSE;
2302;María Elena;202;LICANCABUR;Licancabur;Antofagasta;2;Antofagasta;21;2022;2025;Decreto 68 de 2021;Calama;FALSE;
3101;Copiapó;301;ATACAMA;Atacama;Atacama;3;Copiapó;31;2020;2021;Decreto 74 de 2018;Copiapó;FALSE;
3102;Caldera;301;ATACAMA;Atacama;Atacama;3;Copiapó;31;2020;2021;Decreto 74 de 2018;Copiapó;FALSE;
3103;Tierra Amarilla;301;ATACAMA;Atacama;Atacama;3;Copiapó;31;2020;2021;Decreto 74 de 2018;Copiapó;FALSE;
3201;Chañaral;301;ATACAMA;Atacama;Atacama;3;Copiapó;31;2020;2021;Decreto 74 de 2018;Copiapó;FALSE;
